State,year_month,abortions_per_1000_women_ages_1544,birth_rate_per_1000_women_1544,months_since_dobbs,telehealth_share,shield_law_state,shield_law_access,gestational_limit_weeks,single_mothers_median_monthly_income,infant_child_care_cost_burden,snap_participation_rate,tanf_one_parent_per1000_women_1544,medicaid_expansion_status,medicaid_abortion_funding_restrictions,RPP_all_items,state_unemployment_rate, minimum_wage ,census_region,CPI
VT,2024_11,1.16,3.28,28,21%,1,1,24,"$3,595",43%,10.11%,5.04,1,0,97.958,2.5, $13.67 ,Northeast,327.277
VT,2024_12,1.24,3.45,29,20%,1,1,24,"$3,595",43%,10.14%,4.59,1,0,97.958,2.5, $13.67 ,Northeast,327.240
VA,2022_04,1.27,4.41,-3,9%,0,1,24,"$3,303",39%,9.30%,6.62,1,1,102.026,2.3, $11.00 ,South,279.879
VA,2022_05,1.31,4.52,-2,10%,0,1,24,"$3,303",39%,9.36%,6.76,1,1,102.026,2.7, $11.00 ,South,283.307
VA,2022_06,1.41,4.76,-1,10%,0,1,24,"$3,303",39%,9.38%,6.92,1,1,102.026,2.9, $11.00 ,South,287.427
VA,2022_07,1.54,4.92,0,12%,0,1,24,"$3,303",39%,9.40%,7.06,1,1,102.026,2.9, $11.00 ,South,287.608
VA,2022_08,1.29,5.19,1,14%,0,1,24,"$3,303",39%,9.51%,7.14,1,1,102.026,3.2, $11.00 ,South,287.168
VA,2022_09,1.31,4.74,2,17%,0,1,24,"$3,303",39%,9.52%,7.20,1,1,102.026,2.8, $11.00 ,South,287.656
VA,2022_10,1.35,4.59,3,16%,0,1,24,"$3,303",39%,9.54%,7.23,1,1,102.026,2.7, $11.00 ,South,288.836
VA,2022_11,1.15,4.58,4,23%,0,1,24,"$3,303",39%,9.57%,7.24,1,1,102.026,2.7, $11.00 ,South,288.991
VA,2022_12,1.19,4.71,5,23%,0,1,24,"$3,303",39%,9.59%,7.29,1,1,102.026,2.4, $11.00 ,South,288.205
VA,2023_01,1.82,4.46,6,17%,0,1,24,"$3,458",40%,9.71%,7.17,1,1,101.331,2.9, $12.00 ,South,290.438
VA,2023_02,1.66,4.07,7,16%,0,1,24,"$3,458",40%,9.73%,7.07,1,1,101.331,2.8, $12.00 ,South,292.285
VA,2023_03,1.81,4.43,8,15%,0,1,24,"$3,458",40%,9.82%,6.79,1,1,101.331,2.7, $12.00 ,South,293.358
VA,2023_04,1.75,4.08,9,17%,0,1,24,"$3,458",40%,9.77%,5.85,1,1,101.331,2.3, $12.00 ,South,295.315
VA,2023_05,1.74,4.49,10,16%,0,1,24,"$3,458",40%,9.79%,5.66,1,1,101.331,2.7, $12.00 ,South,295.889
VA,2023_06,1.72,4.57,11,20%,0,1,24,"$3,458",40%,9.70%,5.54,1,1,101.331,2.8, $12.00 ,South,296.789
VA,2023_07,1.58,4.60,12,28%,0,1,24,"$3,458",40%,9.56%,4.34,1,1,101.331,2.7, $12.00 ,South,297.279
VA,2023_08,1.78,4.87,13,26%,0,1,24,"$3,458",40%,9.65%,4.28,1,1,101.331,3, $12.00 ,South,298.975
VA,2023_09,1.71,4.53,14,26%,0,1,24,"$3,458",40%,9.55%,4.22,1,1,101.331,2.8, $12.00 ,South,299.657
VA,2023_10,1.66,4.67,15,29%,0,1,24,"$3,458",40%,9.53%,4.25,1,1,101.331,2.8, $12.00 ,South,299.394
VA,2023_11,1.60,4.35,16,30%,0,1,24,"$3,458",40%,9.49%,4.18,1,1,101.331,2.6, $12.00 ,South,298.930
VA,2023_12,1.76,4.53,17,30%,0,1,24,"$3,458",40%,9.34%,4.08,1,1,101.331,2.4, $12.00 ,South,298.754
VA,2024_01,2.14,4.43,18,28%,0,1,24,"$3,573",39%,9.34%,3.93,1,1,101.104,2.8, $12.00 ,South,300.421
VA,2024_02,1.98,4.22,19,24%,0,1,24,"$3,573",39%,9.35%,3.97,1,1,101.104,2.9, $12.00 ,South,303.144
VA,2024_03,2.14,4.49,20,21%,0,1,24,"$3,573",39%,9.33%,3.86,1,1,101.104,2.7, $12.00 ,South,304.490
VA,2024_04,1.94,4.34,21,24%,0,1,24,"$3,573",39%,9.40%,3.78,1,1,101.104,2.4, $12.00 ,South,305.104
VA,2024_05,2.23,4.50,22,23%,0,1,24,"$3,573",39%,9.52%,3.83,1,1,101.104,2.8, $12.00 ,South,305.296
VA,2024_06,2.05,4.35,23,24%,0,1,24,"$3,573",39%,9.35%,3.82,1,1,101.104,3.1, $12.00 ,South,305.357
VA,2024_07,2.08,4.65,24,26%,0,1,24,"$3,573",39%,9.43%,3.86,1,1,101.104,3.2, $12.00 ,South,305.819
VA,2024_08,2.07,4.75,25,25%,0,1,24,"$3,573",39%,9.49%,3.89,1,1,101.104,3.3, $12.00 ,South,305.761
VA,2024_09,1.84,4.48,26,26%,0,1,24,"$3,573",39%,9.34%,3.85,1,1,101.104,2.9, $12.00 ,South,306.078
VA,2024_10,1.94,4.61,27,22%,0,1,24,"$3,573",39%,9.47%,3.88,1,1,101.104,2.8, $12.00 ,South,306.889
VA,2024_11,1.86,4.31,28,28%,0,1,24,"$3,573",39%,9.44%,3.83,1,1,101.104,2.9, $12.00 ,South,306.877
VA,2024_12,1.87,4.57,29,29%,0,1,24,"$3,573",39%,9.25%,3.79,1,1,101.104,2.5, $12.00 ,South,307.007
WA,2022_04,1.14,4.39,-3,8%,0,0,24,"$3,193",50%,11.33%,10.69,1,0,110.035,5.5, $14.49 ,West,307.145
WA,2022_05,1.11,4.51,-2,11%,0,0,24,"$3,193",50%,11.39%,10.80,1,0,110.035,3.6, $14.49 ,West,309.645
WA,2022_06,1.25,4.53,-1,14%,0,0,24,"$3,193",50%,11.51%,10.97,1,0,110.035,3.7, $14.49 ,West,313.496
WA,2022_07,1.13,4.74,0,14%,0,0,24,"$3,193",50%,11.65%,11.12,1,0,110.035,3.9, $14.49 ,West,313.951
WA,2022_08,1.22,4.82,1,14%,0,0,24,"$3,193",50%,11.64%,11.34,1,0,110.035,4, $14.49 ,West,314.013
WA,2022_09,1.25,4.48,2,12%,0,0,24,"$3,193",50%,11.57%,11.33,1,0,110.035,4.4, $14.49 ,West,315.094
WA,2022_10,1.25,4.41,3,12%,0,0,24,"$3,193",50%,11.77%,11.34,1,0,110.035,3.9, $14.49 ,West,317.299
WA,2022_11,1.13,4.28,4,15%,0,0,24,"$3,193",50%,11.58%,11.25,1,0,110.035,4, $14.49 ,West,315.919
WA,2022_12,1.20,4.39,5,17%,0,0,24,"$3,193",50%,11.66%,11.23,1,0,110.035,4.1, $14.49 ,West,314.599
WA,2023_01,1.31,4.19,6,16%,0,0,24,"$3,882",44%,11.55%,11.09,1,0,108.37,4.2, $15.74 ,West,317.477
WA,2023_02,1.22,3.80,7,13%,0,0,24,"$3,882",44%,11.54%,11.10,1,0,108.37,4.5, $15.74 ,West,319.130
WA,2023_03,1.33,4.25,8,12%,0,0,24,"$3,882",44%,11.53%,11.04,1,0,108.37,4.5, $15.74 ,West,320.715
WA,2023_04,1.19,4.14,9,16%,0,1,24,"$3,882",44%,11.49%,11.04,1,0,108.37,4.1, $15.74 ,West,322.187
WA,2023_05,1.29,4.44,10,15%,0,1,24,"$3,882",44%,11.37%,11.04,1,0,108.37,3.6, $15.74 ,West,323.525
WA,2023_06,1.28,4.39,11,14%,0,1,24,"$3,882",44%,11.33%,11.08,1,0,108.37,3.7, $15.74 ,West,324.448
WA,2023_07,1.23,4.46,12,21%,0,1,24,"$3,882",44%,11.25%,10.72,1,0,108.37,3.8, $15.74 ,West,324.865
WA,2023_08,1.31,4.59,13,19%,0,1,24,"$3,882",44%,11.17%,10.75,1,0,108.37,4, $15.74 ,West,326.234
WA,2023_09,1.17,4.32,14,17%,0,1,24,"$3,882",44%,11.17%,10.86,1,0,108.37,4.5, $15.74 ,West,327.491
WA,2023_10,1.29,4.31,15,19%,0,1,24,"$3,882",44%,11.14%,10.98,1,0,108.37,4.2, $15.74 ,West,327.708
WA,2023_11,1.23,4.23,16,19%,0,1,24,"$3,882",44%,11.11%,10.98,1,0,108.37,4.4, $15.74 ,West,326.299
WA,2023_12,1.24,4.26,17,17%,0,1,24,"$3,882",44%,11.23%,11.06,1,0,108.37,4.4, $15.74 ,West,325.932
WA,2024_01,1.39,4.08,18,18%,0,1,24,"$3,509",51%,11.15%,10.93,1,0,107.013,4.7, $16.28 ,West,328.053
WA,2024_02,1.28,3.96,19,15%,0,1,24,"$3,509",51%,11.19%,10.98,1,0,107.013,5, $16.28 ,West,329.339
WA,2024_03,1.28,4.31,20,17%,0,1,24,"$3,509",51%,11.22%,11.07,1,0,107.013,5.1, $16.28 ,West,332.202
WA,2024_04,1.26,4.13,21,16%,0,1,24,"$3,509",51%,11.20%,11.22,1,0,107.013,4.7, $16.28 ,West,334.050
WA,2024_05,1.31,4.44,22,15%,0,1,24,"$3,509",51%,11.26%,11.34,1,0,107.013,4.1, $16.28 ,West,334.292
WA,2024_06,1.16,4.29,23,14%,0,1,24,"$3,509",51%,11.28%,11.39,1,0,107.013,4.2, $16.28 ,West,333.662
WA,2024_07,1.29,4.50,24,14%,0,1,24,"$3,509",51%,11.29%,11.55,1,0,107.013,4.4, $16.28 ,West,333.174
WA,2024_08,1.22,4.62,25,16%,0,1,24,"$3,509",51%,11.39%,11.93,1,0,107.013,4.7, $16.28 ,West,333.442
WA,2024_09,1.14,4.25,26,14%,0,1,24,"$3,509",51%,11.37%,12.08,1,0,107.013,4.6, $16.28 ,West,334.265
WA,2024_10,1.13,4.43,27,16%,0,1,24,"$3,509",51%,11.40%,12.22,1,0,107.013,4.1, $16.28 ,West,334.558
WA,2024_11,1.18,4.13,28,19%,0,1,24,"$3,509",51%,11.36%,12.31,1,0,107.013,4.2, $16.28 ,West,334.218
WA,2024_12,1.25,4.14,29,20%,0,1,24,"$3,509",51%,11.37%,12.34,1,0,107.013,4.3, $16.28 ,West,334.084
WV,2022_04,0.29,4.38,-3,0%,0,0,20,"$2,078",41%,17.63%,3.79,1,1,89.157,4.3, $8.75 ,South,279.879
WV,2022_05,0.38,4.31,-2,0%,0,0,20,"$2,078",41%,17.36%,3.72,1,1,89.157,3.7, $8.75 ,South,283.307
WV,2022_06,0.35,4.53,-1,0%,0,0,20,"$2,078",41%,17.88%,3.70,1,1,89.157,3.5, $8.75 ,South,287.427
WV,2022_07,0.10,4.77,0,0%,0,0,20,"$2,078",41%,17.74%,3.61,1,1,89.157,4.3, $8.75 ,South,287.608
WV,2022_08,0.26,5.01,1,0%,0,0,20,"$2,078",41%,18.24%,3.80,1,1,89.157,4.1, $8.75 ,South,287.168
WV,2022_09,0.06,4.71,2,0%,0,0,20,"$2,078",41%,18.26%,3.96,1,1,89.157,4.2, $8.75 ,South,287.656
WV,2022_10,0.00,4.57,3,0%,0,0,0,"$2,078",41%,18.23%,4.07,1,1,89.157,3.3, $8.75 ,South,288.836
WV,2022_11,0.00,4.43,4,0%,0,0,0,"$2,078",41%,18.23%,3.99,1,1,89.157,3.3, $8.75 ,South,288.991
WV,2022_12,0.00,4.44,5,0%,0,0,0,"$2,078",41%,18.23%,4.00,1,1,89.157,3.3, $8.75 ,South,288.205
WV,2023_01,0.00,4.49,6,0%,0,0,0,"$2,226",38%,18.39%,4.01,1,1,89.633,3.2, $8.75 ,South,290.438
WV,2023_02,0.00,4.17,7,0%,0,0,0,"$2,226",38%,18.42%,3.95,1,1,89.633,4.1, $8.75 ,South,292.285
WV,2023_03,0.00,4.44,8,0%,0,0,0,"$2,226",38%,17.24%,3.91,1,1,89.633,4.2, $8.75 ,South,293.358
WV,2023_04,0.00,3.83,9,0%,0,0,0,"$2,226",38%,17.09%,3.87,1,1,89.633,4, $8.75 ,South,295.315
WV,2023_05,0.00,4.50,10,0%,0,0,0,"$2,226",38%,16.99%,3.89,1,1,89.633,3.4, $8.75 ,South,295.889
WV,2023_06,0.00,4.69,11,0%,0,0,0,"$2,226",38%,16.58%,3.75,1,1,89.633,3.5, $8.75 ,South,296.789
WV,2023_07,0.13,4.66,12,75%,0,0,0,"$2,226",38%,16.35%,3.66,1,1,89.633,4.1, $8.75 ,South,297.279
WV,2023_08,0.10,4.61,13,100%,0,0,0,"$2,226",38%,16.50%,3.74,1,1,89.633,3.9, $8.75 ,South,298.975
WV,2023_09,0.10,4.53,14,100%,0,0,0,"$2,226",38%,15.91%,3.79,1,1,89.633,4.4, $8.75 ,South,299.657
WV,2023_10,0.13,4.41,15,100%,0,0,0,"$2,226",38%,15.88%,3.89,1,1,89.633,3.7, $8.75 ,South,299.394
WV,2023_11,0.13,4.39,16,100%,0,0,0,"$2,226",38%,15.70%,3.81,1,1,89.633,3.6, $8.75 ,South,298.930
WV,2023_12,0.13,4.35,17,100%,0,0,0,"$2,226",38%,15.40%,3.82,1,1,89.633,3.6, $8.75 ,South,298.754
WV,2024_01,0.19,4.38,18,100%,0,0,0,"$2,498",35%,15.57%,3.77,1,1,89.497,3.8, $8.75 ,South,300.421
WV,2024_02,0.16,4.39,19,100%,0,0,0,"$2,498",35%,15.62%,3.67,1,1,89.497,4.6, $8.75 ,South,303.144
WV,2024_03,0.16,4.50,20,100%,0,0,0,"$2,498",35%,15.70%,3.59,1,1,89.497,4.8, $8.75 ,South,304.490
WV,2024_04,0.19,4.36,21,100%,0,0,0,"$2,498",35%,15.74%,3.44,1,1,89.497,4.5, $8.75 ,South,305.104
WV,2024_05,0.16,4.52,22,100%,0,0,0,"$2,498",35%,15.87%,3.36,1,1,89.497,3.8, $8.75 ,South,305.296
WV,2024_06,0.16,4.44,23,100%,0,0,0,"$2,498",35%,15.66%,3.33,1,1,89.497,3.7, $8.75 ,South,305.357
WV,2024_07,0.16,4.75,24,100%,0,0,0,"$2,498",35%,15.66%,3.28,1,1,89.497,4.4, $8.75 ,South,305.819
WV,2024_08,0.16,4.95,25,100%,0,0,0,"$2,498",35%,15.85%,3.33,1,1,89.497,4.4, $8.75 ,South,305.761
WV,2024_09,0.22,4.56,26,100%,0,0,0,"$2,498",35%,15.65%,3.50,1,1,89.497,4.3, $8.75 ,South,306.078
WV,2024_10,0.22,4.67,27,100%,0,0,0,"$2,498",35%,15.78%,3.62,1,1,89.497,3.6, $8.75 ,South,306.889
WV,2024_11,0.26,4.32,28,100%,0,0,0,"$2,498",35%,15.48%,3.66,1,1,89.497,3.5, $8.75 ,South,306.877
WV,2024_12,0.26,4.43,29,100%,0,0,0,"$2,498",35%,15.23%,3.77,1,1,89.497,3.6, $8.75 ,South,307.007
WI,2022_04,0.57,4.38,-3,0%,0,0,22,"$3,039",37%,11.83%,2.87,0,1,92.401,3.6, $7.25 ,Midwest,268.639
WI,2022_05,0.62,4.55,-2,3%,0,0,22,"$3,039",37%,11.72%,2.92,0,1,92.401,2.8, $7.25 ,Midwest,272.673
WI,2022_06,0.51,4.64,-1,2%,0,0,22,"$3,039",37%,11.71%,2.85,0,1,92.401,2.6, $7.25 ,Midwest,277.072
WI,2022_07,0.02,4.74,0,100%,0,0,22,"$3,039",37%,11.67%,2.88,0,1,92.401,3.2, $7.25 ,Midwest,276.525
WI,2022_08,0.01,4.96,1,100%,0,0,22,"$3,039",37%,11.77%,2.87,0,1,92.401,3, $7.25 ,Midwest,275.875
WI,2022_09,0.02,4.51,2,100%,0,0,22,"$3,039",37%,11.73%,2.73,0,1,92.401,2.9, $7.25 ,Midwest,276.549
WI,2022_10,0.01,4.52,3,100%,0,0,22,"$3,039",37%,11.86%,2.82,0,1,92.401,2.4, $7.25 ,Midwest,276.908
WI,2022_11,0.02,4.47,4,100%,0,0,22,"$3,039",37%,11.93%,2.80,0,1,92.401,2.2, $7.25 ,Midwest,276.436
WI,2022_12,0.02,4.50,5,100%,0,0,22,"$3,039",37%,12.02%,2.84,0,1,92.401,2.2, $7.25 ,Midwest,275.182
WI,2023_01,0.02,4.29,6,100%,0,0,22,"$3,101",36%,12.04%,2.82,0,1,93.22,2.2, $7.25 ,Midwest,277.332
WI,2023_02,0.02,3.97,7,100%,0,0,22,"$3,101",36%,12.01%,2.82,0,1,93.22,2.9, $7.25 ,Midwest,278.672
WI,2023_03,0.04,4.62,8,100%,0,0,22,"$3,101",36%,12.00%,2.78,0,1,93.22,3.2, $7.25 ,Midwest,280.330
WI,2023_04,0.01,4.35,9,100%,0,0,22,"$3,101",36%,11.91%,2.81,0,1,93.22,3, $7.25 ,Midwest,281.927
WI,2023_05,0.01,4.67,10,100%,0,0,22,"$3,101",36%,11.91%,2.82,0,1,93.22,2.6, $7.25 ,Midwest,282.656
WI,2023_06,0.01,4.67,11,100%,0,0,22,"$3,101",36%,11.89%,2.84,0,1,93.22,2.7, $7.25 ,Midwest,283.741
WI,2023_07,0.10,4.79,12,100%,0,0,22,"$3,101",36%,11.87%,2.87,0,1,93.22,3.3, $7.25 ,Midwest,284.640
WI,2023_08,0.11,4.77,13,100%,0,0,22,"$3,101",36%,11.91%,2.83,0,1,93.22,3, $7.25 ,Midwest,285.122
WI,2023_09,0.15,4.56,14,65%,0,0,22,"$3,101",36%,11.92%,2.79,0,1,93.22,3.1, $7.25 ,Midwest,285.276
WI,2023_10,0.34,4.54,15,34%,0,0,22,"$3,101",36%,11.99%,2.80,0,1,93.22,2.6, $7.25 ,Midwest,284.981
WI,2023_11,0.42,4.16,16,28%,0,0,22,"$3,101",36%,11.94%,2.68,0,1,93.22,2.4, $7.25 ,Midwest,284.539
WI,2023_12,0.38,4.21,17,38%,0,0,22,"$3,101",36%,11.93%,2.78,0,1,93.22,2.4, $7.25 ,Midwest,283.908
WI,2024_01,0.49,4.13,18,27%,0,0,22,"$3,369",44%,11.88%,2.71,0,1,94.095,2.5, $7.25 ,Midwest,284.731
WI,2024_02,0.43,4.19,19,29%,0,0,22,"$3,369",44%,11.71%,2.72,0,1,94.095,3, $7.25 ,Midwest,286.346
WI,2024_03,0.51,4.39,20,24%,0,0,22,"$3,369",44%,11.84%,2.72,0,1,94.095,3.5, $7.25 ,Midwest,288.301
WI,2024_04,0.50,4.32,21,28%,0,0,22,"$3,369",44%,11.84%,2.69,0,1,94.095,3.5, $7.25 ,Midwest,289.718
WI,2024_05,0.55,4.63,22,27%,0,0,22,"$3,369",44%,11.80%,2.68,0,1,94.095,2.9, $7.25 ,Midwest,290.355
WI,2024_06,0.42,4.47,23,30%,0,0,22,"$3,369",44%,11.83%,2.72,0,1,94.095,2.8, $7.25 ,Midwest,290.779
WI,2024_07,0.56,4.66,24,33%,0,0,22,"$3,369",44%,11.83%,2.75,0,1,94.095,3.3, $7.25 ,Midwest,292.256
WI,2024_08,0.47,4.75,25,36%,0,0,22,"$3,369",44%,11.83%,2.69,0,1,94.095,3.2, $7.25 ,Midwest,292.559
WI,2024_09,0.42,4.34,26,38%,0,0,22,"$3,369",44%,11.84%,2.83,0,1,94.095,2.9, $7.25 ,Midwest,292.547
WI,2024_10,0.50,4.43,27,41%,0,0,22,"$3,369",44%,11.81%,2.83,0,1,94.095,2.5, $7.25 ,Midwest,292.291
WI,2024_11,0.56,4.12,28,41%,0,0,22,"$3,369",44%,11.73%,2.82,0,1,94.095,2.5, $7.25 ,Midwest,292.022
WI,2024_12,0.58,4.40,29,36%,0,0,22,"$3,369",44%,11.71%,2.88,0,1,94.095,2.7, $7.25 ,Midwest,292.533
WY,2022_04,0.46,4.48,-3,80%,0,0,22,"$2,691",31%,5.38%,1.86,0,1,91.767,2.9, $7.25 ,West,307.145
WY,2022_05,0.46,5.02,-2,80%,0,0,22,"$2,691",31%,5.23%,1.79,0,1,91.767,3.5, $7.25 ,West,309.645
WY,2022_06,0.55,4.46,-1,67%,0,0,22,"$2,691",31%,5.20%,1.80,0,1,91.767,3.2, $7.25 ,West,313.496
WY,2022_07,0.55,5.13,0,67%,0,0,0,"$2,691",31%,5.11%,1.78,0,1,91.767,3.5, $7.25 ,West,313.951
WY,2022_08,0.46,4.89,1,60%,0,0,0,"$2,691",31%,4.92%,1.76,0,1,91.767,3.1, $7.25 ,West,314.013
WY,2022_09,0.64,4.89,2,71%,0,0,0,"$2,691",31%,5.09%,1.78,0,1,91.767,3.2, $7.25 ,West,315.094
WY,2022_10,0.46,4.52,3,80%,0,0,0,"$2,691",31%,5.12%,1.93,0,1,91.767,2.9, $7.25 ,West,317.299
WY,2022_11,0.46,4.12,4,60%,0,0,0,"$2,691",31%,5.17%,1.96,0,1,91.767,3, $7.25 ,West,315.919
WY,2022_12,0.55,4.62,5,67%,0,0,0,"$2,691",31%,5.21%,1.98,0,1,91.767,3.3, $7.25 ,West,314.599
WY,2023_01,0.55,4.17,6,67%,0,0,0,"$3,509",26%,5.18%,2.09,0,1,91.551,3.3, $7.25 ,West,317.477
WY,2023_02,0.45,4.08,7,60%,0,0,0,"$3,509",26%,5.17%,2.15,0,1,91.551,4.1, $7.25 ,West,319.130
WY,2023_03,0.55,4.87,8,67%,0,0,0,"$3,509",26%,5.21%,1.97,0,1,91.551,3.8, $7.25 ,West,320.715
WY,2023_04,0.55,4.53,9,67%,0,0,0,"$3,509",26%,5.13%,1.92,0,1,91.551,3.6, $7.25 ,West,322.187
WY,2023_05,0.73,4.64,10,50%,0,0,0,"$3,509",26%,5.07%,1.92,0,1,91.551,2.9, $7.25 ,West,323.525
WY,2023_06,0.73,4.95,11,50%,0,0,0,"$3,509",26%,5.06%,1.97,0,1,91.551,2.7, $7.25 ,West,324.448
WY,2023_07,0.55,4.67,12,50%,0,0,0,"$3,509",26%,4.90%,2.05,0,1,91.551,2.8, $7.25 ,West,324.865
WY,2023_08,0.82,5.02,13,44%,0,0,0,"$3,509",26%,4.97%,2.20,0,1,91.551,2.5, $7.25 ,West,326.234
WY,2023_09,0.64,4.41,14,43%,0,0,0,"$3,509",26%,4.94%,2.37,0,1,91.551,2.5, $7.25 ,West,327.491
WY,2023_10,0.73,4.56,15,38%,0,0,0,"$3,509",26%,4.93%,2.05,0,1,91.551,2.3, $7.25 ,West,327.708
WY,2023_11,0.73,4.26,16,50%,0,0,0,"$3,509",26%,4.94%,2.20,0,1,91.551,2.4, $7.25 ,West,326.299
WY,2023_12,0.73,4.29,17,38%,0,0,0,"$3,509",26%,4.95%,2.37,0,1,91.551,2.7, $7.25 ,West,325.932
WY,2024_01,0.81,4.35,18,56%,0,0,0,"$2,775",38%,5.01%,2.31,0,1,92.691,2.7, $7.25 ,West,328.053
WY,2024_02,0.63,4.39,19,57%,0,0,0,"$2,775",38%,4.97%,2.24,0,1,92.691,3.6, $7.25 ,West,329.339
WY,2024_03,0.90,4.73,20,40%,0,0,0,"$2,775",38%,5.02%,2.15,0,1,92.691,3.6, $7.25 ,West,332.202
WY,2024_04,0.72,4.74,21,50%,0,0,0,"$2,775",38%,5.04%,2.26,0,1,92.691,3.4, $7.25 ,West,334.050
WY,2024_05,0.81,4.73,22,67%,0,0,0,"$2,775",38%,4.99%,2.22,0,1,92.691,3, $7.25 ,West,334.292
WY,2024_06,0.63,4.74,23,57%,0,0,0,"$2,775",38%,4.94%,2.27,0,1,92.691,2.9, $7.25 ,West,333.662
WY,2024_07,0.54,4.78,24,50%,0,0,0,"$2,775",38%,4.90%,2.23,0,1,92.691,3.1, $7.25 ,West,333.174
WY,2024_08,0.81,4.85,25,56%,0,0,0,"$2,775",38%,4.89%,2.30,0,1,92.691,3.1, $7.25 ,West,333.442
WY,2024_09,0.81,4.35,26,44%,0,0,0,"$2,775",38%,4.84%,2.19,0,1,92.691,3.1, $7.25 ,West,334.265
WY,2024_10,0.72,4.74,27,50%,0,0,0,"$2,775",38%,4.85%,2.05,0,1,92.691,2.7, $7.25 ,West,334.558
WY,2024_11,0.72,4.01,28,63%,0,0,0,"$2,775",38%,4.82%,2.15,0,1,92.691,3.1, $7.25 ,West,334.218
WY,2024_12,0.81,4.45,29,56%,0,0,0,"$2,775",38%,4.78%,2.16,0,1,92.691,3.6, $7.25 ,West,334.084
,,,,,,,,,,,,,,,,,,,
